date,temp,humidity,radiation,precip,location,hemisphere
2021-01-01,5.01,68.9,208.86,0.96,Madrid,north
2021-01-02,6.91,69.17,210.36,0.0,Madrid,north
2021-01-03,6.39,68.52,211.97,0.77,Madrid,north
2021-01-04,6.17,71.05,213.7,3.14,Madrid,north
2021-01-05,7.47,70.48,215.55,0.0,Madrid,north
2021-01-06,4.35,71.18,217.51,3.38,Madrid,north
2021-01-07,6.68,69.44,219.58,2.04,Madrid,north
2021-01-08,3.92,68.43,221.76,1.97,Madrid,north
2021-01-09,8.8,68.79,224.06,1.77,Madrid,north
2021-01-10,7.77,73.91,226.47,0.0,Madrid,north
2021-01-11,8.64,62.42,228.98,0.0,Madrid,north
2021-01-12,6.52,65.41,231.61,2.6,Madrid,north
2021-01-13,9.29,63.88,234.35,2.54,Madrid,north
2021-01-14,6.19,69.52,237.19,0.62,Madrid,north
2021-01-15,8.65,74.02,240.15,2.18,Madrid,north
2021-01-16,9.36,73.14,243.21,1.9,Madrid,north
2021-01-17,7.64,66.27,246.37,0.33,Madrid,north
2021-01-18,10.13,68.56,249.64,4.96,Madrid,north
2021-01-19,7.73,64.27,253.02,2.36,Madrid,north
2021-01-20,12.45,72.23,256.49,2.46,Madrid,north
2021-01-21,12.69,69.17,260.07,0.0,Madrid,north
2021-01-22,9.01,74.34,263.75,0.0,Madrid,north
2021-01-23,10.38,70.77,267.53,0.57,Madrid,north
2021-01-24,12.0,72.33,271.41,4.82,Madrid,north
2021-01-25,12.04,66.29,275.38,0.17,Madrid,north
2021-01-26,9.37,74.01,279.46,0.16,Madrid,north
2021-01-27,11.14,72.9,283.62,0.0,Madrid,north
2021-01-28,10.93,59.84,287.88,0.0,Madrid,north
2021-01-29,10.62,71.02,292.23,2.93,Madrid,north
2021-01-30,11.96,70.13,296.68,1.31,Madrid,north
2021-01-31,14.41,73.17,301.21,1.46,Madrid,north
2021-02-01,10.46,73.1,305.83,1.62,Madrid,north
2021-02-02,15.18,68.3,310.54,4.04,Madrid,north
2021-02-03,12.25,76.28,315.34,1.2,Madrid,north
2021-02-04,12.17,62.53,320.22,0.79,Madrid,north
2021-02-05,16.29,72.11,325.18,2.05,Madrid,north
2021-02-06,8.93,71.43,330.22,1.84,Madrid,north
2021-02-07,12.82,64.58,335.35,0.99,Madrid,north
2021-02-08,17.61,62.28,340.55,0.36,Madrid,north
2021-02-09,17.12,65.16,345.83,0.45,Madrid,north
2021-02-10,14.83,61.01,351.18,1.3,Madrid,north
2021-02-11,12.45,71.47,356.61,0.98,Madrid,north
2021-02-12,19.67,68.26,362.11,2.94,Madrid,north
2021-02-13,12.73,66.06,367.68,1.42,Madrid,north
2021-02-14,19.07,58.07,373.32,2.37,Madrid,north
2021-02-15,16.99,73.95,379.03,1.96,Madrid,north
2021-02-16,16.14,63.47,384.8,0.0,Madrid,north
2021-02-17,16.66,64.91,390.63,3.75,Madrid,north
