transaction_id,event_minute,customer_id,amount,hour,merchant_risk,country_risk,device_age_days,distance_km,previous_declines,account_age_days,velocity_1h,is_foreign,card_present,amount_to_avg,log_amount_to_avg,log_distance_km,is_night,new_device,is_fraud
1.0,0.0,269.0,423.82,7.0,0.08043,0.12911,0.26,3.89,0.0,659.0,2.0,0.0,1.0,4.45599,1.69671,1.58665,0.0,1.0,0
2.0,1.0,49.0,11.28,18.0,0.1532,0.06847,135.94,13.43,0.0,980.0,3.0,0.0,1.0,0.6553,0.50398,2.66964,0.0,0.0,0
3.0,2.0,405.0,185.88,21.0,0.40619,0.12624,1.25,32.36,1.0,1562.0,1.0,0.0,1.0,2.60924,1.2835,3.50726,0.0,1.0,1
4.0,3.0,3.0,96.43,19.0,0.37992,0.12819,676.01,52.52,0.0,817.0,0.0,1.0,1.0,1.74261,1.00891,3.9801,0.0,0.0,0
5.0,4.0,87.0,132.21,6.0,0.33093,0.2234,145.71,5.68,1.0,1015.0,2.0,0.0,0.0,1.15492,0.76775,1.89882,0.0,0.0,0
6.0,5.0,356.0,47.31,14.0,0.12612,0.36811,410.23,17.94,0.0,413.0,1.0,0.0,1.0,1.28172,0.82493,2.94132,0.0,0.0,0
7.0,6.0,355.0,107.67,12.0,0.0334,0.30967,159.76,31.28,1.0,210.0,2.0,0.0,1.0,1.37526,0.86511,3.47447,0.0,0.0,0
8.0,7.0,238.0,23.95,16.0,0.3476,0.04062,408.73,17.26,1.0,1643.0,1.0,0.0,1.0,0.94894,0.66729,2.90487,0.0,0.0,0
9.0,8.0,125.0,158.17,13.0,0.30262,0.45267,358.07,39.9,0.0,520.0,0.0,0.0,0.0,2.36243,1.21266,3.71114,0.0,0.0,0
10.0,9.0,101.0,147.7,12.0,0.14954,0.18687,79.24,2.04,0.0,167.0,1.0,0.0,1.0,3.73614,1.55522,1.1107,0.0,0.0,0
11.0,10.0,215.0,39.9,14.0,0.29807,0.06482,204.57,23.01,1.0,1529.0,3.0,0.0,0.0,0.97666,0.68141,3.17864,0.0,0.0,0
12.0,11.0,400.0,73.26,12.0,0.38482,0.02344,444.8,2.91,2.0,783.0,0.0,0.0,1.0,1.81527,1.03506,1.36305,0.0,0.0,0
13.0,12.0,61.0,21.92,16.0,0.12987,0.37168,828.33,185.45,0.0,1496.0,3.0,1.0,1.0,0.4324,0.35935,5.22815,0.0,0.0,0
14.0,13.0,142.0,121.62,18.0,0.13032,0.34463,318.98,69.72,0.0,1675.0,1.0,0.0,1.0,0.82421,0.60115,4.2587,0.0,0.0,0
